,Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS,game_id
1367,Malale H.,FER,4,1,0,8:36,1,4,1,4,0,0,2,2,4,0,1,1,0,0,0,1,0,KdyAHnTh
1368,Sarhan M.,ALA,4,2,1,9:22,1,2,1,1,0,1,2,4,-1,1,1,3,0,0,0,0,0,KdyAHnTh
1369,Aboelnasr M.,ALA,2,2,0,17:18,1,4,1,2,0,2,0,0,12,0,2,1,0,1,0,0,0,KdyAHnTh
1370,Chirombe C.,FER,1,7,1,23:22,0,1,0,1,0,0,1,2,-8,3,4,2,0,1,0,0,0,KdyAHnTh
1371,Mbiya P.,FER,1,2,0,4:39,0,1,0,1,0,0,1,2,3,2,0,0,0,1,0,0,0,KdyAHnTh
1372,de Barros L.,FER,0,0,0,2:44,0,1,0,1,0,0,0,0,-3,0,0,1,0,0,0,0,0,KdyAHnTh
1373,Fijamo T.,FER,0,0,0,1:42,0,1,0,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,KdyAHnTh
1374,Houana E.,FER,0,0,0,4:43,0,1,0,0,0,1,0,0,-9,0,0,0,1,0,0,0,0,KdyAHnTh
1375,Said S.,ALA,0,6,0,13:44,0,2,0,1,0,1,0,0,-4,2,4,2,0,1,2,0,0,KdyAHnTh
1376,Young N.,FER,26,13,0,36:26,10,22,9,19,1,3,5,5,11,6,7,3,0,7,0,0,0,KICpUPCb
1377,Gbinije M.,CAP,20,7,6,40:00,6,15,4,6,2,9,6,8,-6,0,7,2,2,3,1,0,0,KICpUPCb
1378,Nurmamade I.,FER,20,3,3,33:14,7,13,5,10,2,3,4,5,6,0,3,2,2,3,0,0,0,KICpUPCb
1379,Sidibe B.,FER,19,15,0,36:57,7,15,7,14,0,1,5,7,7,8,7,4,3,3,2,1,0,KICpUPCb
1380,Ganapamo E.,CAP,17,5,3,36:50,6,11,5,6,1,5,4,4,-5,0,5,3,1,3,0,0,0,KICpUPCb
1381,Wade Z.,CAP,17,3,5,34:06,6,10,4,6,2,4,3,3,-7,1,2,4,1,5,0,0,0,KICpUPCb
1382,Prinsloo P.,CAP,11,2,0,24:02,3,8,0,1,3,7,2,2,-4,0,2,5,1,1,1,0,0,KICpUPCb
1383,Cele S.,CAP,9,5,5,39:08,4,12,3,5,1,7,0,0,-9,4,1,3,5,3,0,0,0,KICpUPCb
1384,Perry W.,FER,9,4,10,40:00,2,11,2,6,0,5,5,5,6,0,4,3,1,5,0,1,0,KICpUPCb
1385,Gueye M.,FER,6,8,1,32:08,3,9,3,7,0,2,0,0,11,3,5,4,0,3,0,0,0,KICpUPCb
1386,Chirombe C.,FER,2,3,0,10:20,1,3,1,3,0,0,0,0,-5,2,1,1,2,2,0,0,0,KICpUPCb
1387,Mthembu S.,CAP,1,0,0,5:09,0,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,KICpUPCb
1388,Sibanyoni N.,CAP,1,3,0,10:37,0,5,0,5,0,0,1,2,-2,2,1,3,0,0,0,2,0,KICpUPCb
1389,Munguambe A.,FER,0,2,1,10:55,0,1,0,1,0,0,0,0,-6,2,0,1,0,2,0,1,0,KICpUPCb
1390,Selepe L.,CAP,0,0,0,3:31,0,2,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,KICpUPCb
1391,Whitbread D.,CAP,0,0,0,6:37,0,2,0,1,0,1,0,0,-3,0,0,1,0,0,0,0,0,KICpUPCb
1392,Harouna A.,ABI,33,6,3,39:47,12,24,8,12,4,12,5,6,14,1,5,2,3,3,0,0,0,Krdy3mEa
1393,Randle J.,USM,25,5,5,35:57,9,15,6,8,3,7,4,5,-15,1,4,2,0,4,0,1,0,Krdy3mEa
1394,Fofana M.,ABI,18,4,3,22:17,7,16,3,9,4,7,0,0,8,3,1,1,1,1,0,0,0,Krdy3mEa
1395,Konate S.,ABI,15,4,2,27:36,3,6,2,2,1,4,8,9,10,0,4,3,3,1,0,0,0,Krdy3mEa
1396,Thomas I.,USM,14,10,0,29:33,4,7,1,2,3,5,3,6,-17,1,9,1,0,3,1,0,0,Krdy3mEa
1397,Slimane R.,USM,12,2,0,27:25,4,11,3,3,1,8,3,4,-6,0,2,5,1,4,0,0,0,Krdy3mEa
1398,Robinson A. D. J.,ABI,9,4,2,32:15,4,11,4,10,0,1,1,2,12,1,3,3,3,1,0,0,0,Krdy3mEa
1399,Marnaoui O.,USM,6,2,1,14:46,2,6,2,2,0,4,2,2,-1,1,1,0,1,2,0,0,0,Krdy3mEa
1400,Bile C.,ABI,5,2,2,13:23,2,9,1,5,1,4,0,0,7,0,2,3,0,0,1,2,0,Krdy3mEa
1401,Lahyani F.,USM,5,3,0,19:21,2,5,2,4,0,1,1,2,-11,1,2,0,0,3,0,0,0,Krdy3mEa
1402,Kone F.,ABI,4,0,1,7:46,2,2,2,2,0,0,0,0,4,0,0,1,0,1,0,0,0,Krdy3mEa
1403,Obekpa C.,ABI,4,9,2,35:03,2,5,2,5,0,0,0,0,13,3,6,4,1,3,0,0,0,Krdy3mEa
1404,Addami A.,USM,3,0,1,5:06,1,2,0,0,1,2,0,0,-7,0,0,1,0,0,0,0,0,Krdy3mEa
1405,Bouallegue A.,USM,3,0,0,7:58,1,1,0,0,1,1,0,0,-12,0,0,2,1,3,1,0,0,Krdy3mEa
1406,Chouaya L.,USM,2,0,1,14:20,1,4,1,3,0,1,0,0,-3,0,0,1,0,1,0,0,0,Krdy3mEa
1407,Ghayaza M.,USM,2,3,1,22:08,1,2,1,2,0,0,0,0,4,0,3,4,1,2,0,1,0,Krdy3mEa
1408,Kone M.,ABI,2,3,0,7:40,1,3,1,3,0,0,0,0,9,1,2,3,0,0,1,0,0,Krdy3mEa
1409,Mahemli H.,USM,2,5,0,18:52,1,4,1,1,0,3,0,0,-7,1,4,3,0,0,0,0,0,Krdy3mEa
1410,Chennoufi Z.,USM,0,3,0,4:34,0,0,0,0,0,0,0,0,-5,0,3,0,0,0,0,0,0,Krdy3mEa
1411,Diarra I.,ABI,0,0,0,1:37,0,1,0,1,0,0,0,0,-5,0,0,1,0,0,0,0,0,Krdy3mEa
1412,Kra U.,ABI,0,3,0,9:05,0,2,0,1,0,1,0,0,11,1,2,2,0,0,0,0,0,Krdy3mEa
1413,Sylla H.,ABI,0,0,0,3:32,0,0,0,0,0,0,0,0,-3,0,0,1,0,0,0,0,0,Krdy3mEa
1414,Costner B.,PAT,20,2,2,24:46,6,11,2,3,4,8,4,4,18,0,2,2,1,3,0,0,0,l0iGev5k
1415,Sullivan T.,RIV,15,6,2,33:58,5,16,2,7,3,9,2,2,-18,0,6,4,2,4,0,0,0,l0iGev5k
1416,Ndayisaba D.,PAT,13,6,3,20:30,4,8,1,2,3,6,2,3,17,1,5,1,1,0,0,0,0,l0iGev5k
1417,Uzoh B.,RIV,12,3,5,25:55,5,10,5,9,0,1,2,3,-5,3,0,1,2,2,1,1,0,l0iGev5k
1418,Ibeh P.,PAT,11,11,2,23:39,5,7,5,7,0,0,1,4,27,4,7,3,0,1,4,0,0,l0iGev5k
1419,Mugabe A.,PAT,9,1,1,9:26,2,3,1,1,1,2,4,4,-1,0,1,1,0,1,0,0,0,l0iGev5k
1420,Ikechukwu B.,RIV,8,4,2,22:32,3,15,1,3,2,12,0,0,8,0,4,1,0,1,0,0,0,l0iGev5k
1421,Gasana K.,PAT,7,3,4,25:31,3,9,2,7,1,2,0,0,16,0,3,0,1,0,0,1,0,l0iGev5k
1422,Hagumintwari S.,PAT,7,3,0,19:30,2,11,1,8,1,3,2,2,6,2,1,3,1,2,0,2,0,l0iGev5k
1423,Ajegbeyi S.,RIV,6,6,0,23:27,2,7,2,7,0,0,2,2,-12,4,2,2,1,1,0,2,0,l0iGev5k
1424,Koko V.,RIV,6,8,3,17:42,3,7,3,5,0,2,0,0,-3,3,5,2,0,2,2,0,0,l0iGev5k
1425,Sagamba S.,PAT,6,1,2,15:57,3,3,3,3,0,0,0,0,14,0,1,0,0,1,0,0,0,l0iGev5k
1426,Opong R.,RIV,5,4,1,21:54,2,7,1,3,1,4,0,0,-35,3,1,0,0,1,0,1,0,l0iGev5k
1427,Wamukota B.,PAT,5,4,0,21:57,1,6,0,3,1,3,2,2,-1,0,4,2,0,0,0,1,0,l0iGev5k
1428,Cole J.,PAT,3,3,2,17:51,1,3,1,2,0,1,1,1,19,1,2,0,0,3,0,0,0,l0iGev5k
1429,Ameh S.,RIV,2,0,1,7:31,0,1,0,0,0,1,2,2,-4,0,0,1,0,2,0,0,0,l0iGev5k
1430,Balogun E.,RIV,2,0,0,4:22,1,2,1,1,0,1,0,0,3,0,0,1,0,0,0,0,0,l0iGev5k
1431,Daniels C.,RIV,2,4,2,15:52,1,5,1,3,0,2,0,0,-7,1,3,5,1,2,2,0,0,l0iGev5k
1432,Nshobozwabyosenumukiza J.,PAT,2,2,2,11:15,1,4,1,4,0,0,0,0,-2,1,1,0,3,2,0,1,0,l0iGev5k
1433,Nwaiwu B.,RIV,2,2,0,17:46,1,1,1,1,0,0,0,0,-20,0,2,3,1,1,0,0,0,l0iGev5k
1434,Kaje E.,PAT,0,1,1,6:51,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,l0iGev5k
1435,Saliu P.,RIV,0,0,0,2:27,0,1,0,0,0,1,0,0,-8,0,0,0,0,2,0,0,0,l0iGev5k
1436,Sano G.,PAT,0,1,0,2:47,0,1,0,0,0,1,0,0,-6,1,0,0,0,0,0,0,0,l0iGev5k
1437,Ugo V.,RIV,0,1,1,6:34,0,1,0,0,0,1,0,0,-14,1,0,1,0,0,0,0,0,l0iGev5k
1438,Abada O.,USM,18,3,5,23:21,7,11,5,8,2,3,2,4,18,1,2,0,2,1,0,0,0,l8svNr5b
1439,Lahyani F.,USM,13,4,2,16:53,6,8,6,7,0,1,1,2,23,2,2,3,3,0,0,0,0,l8svNr5b
1440,Ndayisaba D.,PAT,13,2,2,33:32,4,13,2,7,2,6,3,3,-25,0,2,0,1,3,1,0,0,l8svNr5b
1441,Arakji W.,USM,12,3,3,16:53,4,8,2,4,2,4,2,2,23,2,1,0,1,0,0,0,0,l8svNr5b
1442,Crawford C.,USM,11,5,4,24:21,4,8,1,2,3,6,0,0,37,0,5,1,3,1,0,0,0,l8svNr5b
1443,Majok A.,USM,10,12,1,28:48,5,11,5,9,0,2,0,0,32,2,10,0,2,1,2,0,0,l8svNr5b
1444,Gasana K.,PAT,8,4,2,28:17,3,7,1,4,2,3,0,0,-29,1,3,1,0,3,0,0,0,l8svNr5b
1445,Ibeh P.,PAT,8,4,2,19:58,4,5,4,5,0,0,0,0,-12,0,4,4,0,2,0,0,0,l8svNr5b
1446,Ben Romdhane M.,USM,6,3,4,21:54,3,5,3,4,0,1,0,0,12,0,3,2,3,2,0,0,0,l8svNr5b
1447,Costner B.,PAT,6,1,2,27:46,2,9,0,2,2,7,0,2,-27,0,1,2,1,4,0,0,0,l8svNr5b
1448,El Mabrouk M.,USM,6,3,3,24:11,2,6,0,3,2,3,0,0,22,1,2,1,1,0,0,0,0,l8svNr5b
1449,Marnaoui O.,USM,6,0,0,7:23,2,5,2,4,0,1,2,2,6,0,0,1,1,0,0,0,0,l8svNr5b
1450,Nshobozwa W.,PAT,6,3,0,13:37,2,3,0,0,2,3,0,0,-17,1,2,1,0,3,0,0,0,l8svNr5b
1451,Mugabe A.,PAT,4,1,0,12:09,1,4,0,0,1,4,1,2,-17,0,1,4,0,2,0,0,0,l8svNr5b
1452,Jaziri N.,USM,3,1,0,2:52,1,2,0,0,1,2,0,0,2,0,1,1,1,0,0,0,0,l8svNr5b
1453,Slimane R.,USM,2,2,0,20:15,0,2,0,2,0,0,2,2,13,0,2,3,1,1,0,2,0,l8svNr5b
1454,Kaje E.,PAT,1,3,0,9:22,0,0,0,0,0,0,1,2,-12,1,2,1,0,2,0,0,0,l8svNr5b
1455,Bhouri E.,USM,0,0,1,4:13,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,l8svNr5b
1456,Ghyaza M.,USM,0,0,0,8:56,0,2,0,2,0,0,0,0,13,0,0,2,0,0,0,0,0,l8svNr5b
1457,Ndoli J.,PAT,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l8svNr5b
1458,Sagamba S.,PAT,0,7,2,24:50,0,7,0,5,0,2,0,0,-17,2,5,2,0,4,0,1,0,l8svNr5b
1459,Sano G.,PAT,0,1,0,7:35,0,1,0,1,0,0,0,0,-18,0,1,0,0,0,0,1,0,l8svNr5b
1460,Wamukota B.,PAT,0,10,0,22:54,0,8,0,4,0,4,0,0,-31,5,5,1,0,1,1,0,0,l8svNr5b
1461,Oraby O.,ALA,20,8,1,21:24,9,11,9,11,0,0,2,4,20,3,5,2,0,2,3,1,0,lb41QsCN
1462,Nwabuzor M.,SLA,19,3,4,36:29,4,10,4,7,0,3,11,12,-11,1,2,1,3,3,0,0,0,lb41QsCN
1463,Mara M.,SLA,16,4,0,17:29,6,9,5,7,1,2,3,3,13,1,3,3,1,1,0,0,0,lb41QsCN
1464,Saleh E. A.,ALA,16,6,3,22:49,6,9,3,5,3,4,1,2,24,0,6,2,3,1,0,0,0,lb41QsCN
1465,Iroegbu U.,SLA,13,3,3,36:22,5,13,5,10,0,3,3,4,-4,2,1,3,1,4,0,0,0,lb41QsCN
1466,Miller D.,SLA,12,5,1,39:10,4,10,4,9,0,1,4,4,-12,1,4,3,3,5,0,2,0,lb41QsCN
1467,Thompson M.,ALA,11,0,6,30:19,3,10,3,4,0,6,5,5,22,0,0,3,1,2,0,0,0,lb41QsCN
1468,Zahran A.,ALA,11,3,3,22:23,4,7,3,4,1,3,2,2,25,2,1,1,1,3,0,0,0,lb41QsCN
1469,Omot N.,ALA,6,1,4,21:48,2,8,2,4,0,4,2,3,27,0,1,2,0,4,0,0,0,lb41QsCN
1470,Conde I.,SLA,4,7,2,24:33,2,10,2,10,0,0,0,0,-22,2,5,2,1,1,1,1,0,lb41QsCN
1471,El Gendy A.,ALA,4,6,4,23:07,1,7,1,4,0,3,2,3,-13,3,3,1,2,2,0,0,0,lb41QsCN
1472,Fofana I.,SLA,4,2,0,23:04,1,2,0,0,1,2,1,2,-26,0,2,3,2,3,0,0,0,lb41QsCN
1473,Ismail A.,ALA,4,9,0,16:02,2,3,2,3,0,0,0,0,-13,3,6,3,0,4,0,0,0,lb41QsCN
1474,Aboelnasr M.,ALA,3,1,0,18:31,1,3,1,2,0,1,1,2,-17,1,0,1,0,1,0,0,0,lb41QsCN
1475,Sarhan M.,ALA,3,4,0,9:33,1,2,0,1,1,1,0,0,0,1,3,1,0,1,0,0,0,lb41QsCN
1476,Doumbouya I.,SLA,2,1,0,7:07,1,2,1,1,0,1,0,0,3,0,1,2,0,0,0,0,0,lb41QsCN
1477,Webster C.,ALA,2,0,0,7:20,0,2,0,1,0,1,2,2,-13,0,0,2,0,1,0,0,0,lb41QsCN
1478,Bah A.,SLA,0,0,0,0:26,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,lb41QsCN
1479,Kaba A.,SLA,0,0,0,0:26,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,lb41QsCN
1480,Mabil M.,SLA,0,2,1,14:28,0,3,0,2,0,1,0,0,18,0,2,2,0,0,0,0,0,lb41QsCN
1481,Sompare A.,SLA,0,0,0,0:26,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,lb41QsCN
1482,Tarek M.,ALA,0,1,0,6:45,0,2,0,0,0,2,0,0,-12,0,1,1,0,0,0,0,0,lb41QsCN
1483,Diarra A.,STA,23,14,2,28:29,9,14,9,14,0,0,5,8,13,8,6,5,2,0,5,0,0,lfMdAVLP
1484,Berthe S.,STA,20,4,3,34:12,8,14,6,9,2,5,2,5,-3,0,4,0,1,3,0,0,0,lfMdAVLP
1485,Anthony W. J.,KWA,19,5,0,23:27,6,12,3,9,3,3,4,5,5,3,2,2,1,1,1,3,0,lfMdAVLP
1486,Adekoya J.,KWA,12,2,0,17:50,3,6,1,2,2,4,4,4,6,0,2,3,0,4,0,1,0,lfMdAVLP
1487,Thiam M.,KWA,11,0,1,21:17,4,8,3,5,1,3,2,3,-1,0,0,2,2,0,0,0,0,lfMdAVLP
1488,Chinyelu R.,STA,10,7,1,19:40,5,8,5,8,0,0,0,0,-2,6,1,3,1,2,2,0,0,lfMdAVLP
1489,Ezeh V.,KWA,10,2,1,21:04,4,11,3,6,1,5,1,2,-1,0,2,1,1,2,0,0,0,lfMdAVLP
1490,Mordi J.,KWA,8,4,5,21:58,3,6,1,3,2,3,0,0,16,0,4,4,1,0,0,0,0,lfMdAVLP
1491,Brigeforth B.,STA,6,7,1,13:52,3,4,3,4,0,0,0,0,5,2,5,1,0,2,0,0,0,lfMdAVLP
1492,Kolawole M. A.,KWA,6,5,2,16:27,3,9,3,7,0,2,0,0,-18,2,3,0,0,3,0,0,0,lfMdAVLP
1493,Keita M.,STA,5,1,1,14:45,2,5,1,2,1,3,0,0,-3,0,1,2,0,2,0,0,0,lfMdAVLP
1494,Amayo K.,STA,4,2,4,27:12,2,11,2,6,0,5,0,2,11,2,0,3,4,5,0,0,0,lfMdAVLP
1495,Konate T.,STA,4,2,0,16:29,1,4,1,2,0,2,2,2,0,0,2,1,1,0,0,0,0,lfMdAVLP
1496,Keita M.,STA,3,2,5,23:49,1,6,1,3,0,3,1,1,3,0,2,3,1,2,0,1,0,lfMdAVLP
1497,Monyyong R.,KWA,3,7,1,25:18,0,3,0,3,0,0,3,8,-11,5,2,3,0,3,0,0,0,lfMdAVLP
1498,Pare M.,STA,3,1,1,9:18,0,4,0,3,0,1,3,4,-1,0,1,2,0,0,0,0,0,lfMdAVLP
1499,Akpejiori A.,KWA,2,2,0,6:30,0,0,0,0,0,0,2,2,-3,0,2,2,0,1,0,0,0,lfMdAVLP
1500,Mohammed V.,KWA,2,7,2,12:13,0,3,0,3,0,0,2,4,5,4,3,0,1,3,0,1,0,lfMdAVLP
1501,Nyemeck K.,KWA,1,3,0,12:32,0,3,0,3,0,0,1,2,-4,2,1,2,0,0,0,1,0,lfMdAVLP
1502,Conteh S.,KWA,0,1,1,2:54,0,1,0,1,0,0,0,0,-4,0,1,1,0,1,0,1,0,lfMdAVLP
1503,Kareem A.,KWA,0,1,0,9:46,0,0,0,0,0,0,0,0,-10,0,1,2,0,1,0,0,0,lfMdAVLP
1504,Oriakhi M.,KWA,0,1,3,8:44,0,1,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,lfMdAVLP
1505,Traore N.,STA,0,1,0,3:33,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,lfMdAVLP
1506,Wilkins J. W.,STA,0,1,1,8:41,0,2,0,2,0,0,0,0,-7,1,0,4,0,2,0,0,0,lfMdAVLP
1507,Kiir M.,COB,22,8,2,38:40,8,19,7,14,1,5,5,10,-8,3,5,4,1,3,3,0,0,lfrLLdVg
1508,Wang P.,COB,20,7,7,36:02,6,14,3,7,3,7,5,10,-2,2,5,4,1,9,1,0,0,lfrLLdVg
1509,Morman D.,FAP,16,2,6,25:14,6,15,6,11,0,4,4,5,0,0,2,2,2,3,0,0,0,lfrLLdVg
1510,Almeida J.,FAP,13,3,0,28:42,5,14,3,5,2,9,1,1,8,0,3,1,5,2,0,0,0,lfrLLdVg
1511,Eyaga B.,FAP,12,7,1,30:43,4,10,2,5,2,5,2,7,12,2,5,3,0,1,2,0,0,lfrLLdVg
1512,Deng D.,COB,10,5,1,32:04,4,10,3,6,1,4,1,2,1,0,5,4,4,3,0,0,0,lfrLLdVg
1513,Wangmene A.,FAP,10,7,0,27:50,4,9,4,8,0,1,2,5,7,3,4,5,0,2,1,0,0,lfrLLdVg
1514,Wek N.,COB,8,10,0,34:25,3,10,2,4,1,6,1,2,-7,4,6,1,1,0,2,0,0,lfrLLdVg
1515,Byers T.,FAP,7,8,1,20:19,3,8,3,8,0,0,1,4,-3,7,1,3,2,1,2,0,0,lfrLLdVg
1516,Kamka-Chomke U.,FAP,6,3,0,13:02,3,7,3,7,0,0,0,0,0,2,1,1,2,1,4,0,0,lfrLLdVg
1517,Tsangue C.,FAP,4,8,1,20:51,0,6,0,5,0,1,4,4,-2,4,4,3,1,0,0,0,0,lfrLLdVg
1518,Harrington J.,COB,3,3,0,17:56,1,6,1,6,0,0,1,2,-18,1,2,1,0,1,0,0,0,lfrLLdVg
1519,Tametong E.,FAP,3,2,1,10:09,1,4,1,2,0,2,1,3,-2,1,1,1,0,1,0,0,0,lfrLLdVg
1520,Dieu G.,COB,1,2,0,21:13,0,3,0,2,0,1,1,2,-4,0,2,3,0,2,0,0,0,lfrLLdVg
1521,Ajak S.,COB,0,0,0,4:34,0,1,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,lfrLLdVg
1522,Akumenzoh E.,FAP,0,0,0,4:14,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,lfrLLdVg
1523,Hampton L.,COB,0,2,0,9:22,0,1,0,1,0,0,0,0,1,2,0,5,0,0,2,0,0,lfrLLdVg
1524,Liale C.,FAP,0,1,2,13:57,0,3,0,1,0,2,0,2,7,0,1,2,1,0,0,0,0,lfrLLdVg
1525,Maluach K.,COB,0,2,0,5:44,0,0,0,0,0,0,0,0,-8,0,2,0,0,0,0,0,0,lfrLLdVg
1526,Tankoua P.,FAP,0,1,0,5:00,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,lfrLLdVg
1527,Bile C.,ABI,24,5,1,19:12,7,12,4,7,3,5,7,8,10,2,3,1,0,1,0,1,0,lOmha5DO
1528,Anthony W. J.,KWA,15,3,1,20:16,4,9,3,4,1,5,6,8,6,1,2,2,0,2,3,0,0,lOmha5DO
1529,Mordi J.,KWA,14,14,6,31:18,4,10,1,7,3,3,3,5,-6,4,10,2,2,1,0,0,0,lOmha5DO
1530,Robinson A. D. J.,ABI,13,2,5,30:06,5,10,2,5,3,5,0,0,-6,0,2,2,1,1,0,1,0,lOmha5DO
1531,Adekoya J.,KWA,12,4,2,24:01,3,9,1,1,2,8,4,4,-2,1,3,1,1,1,0,1,0,lOmha5DO
1532,Oriakhi M.,KWA,10,7,2,28:29,5,11,5,6,0,5,0,0,3,2,5,0,0,2,0,1,0,lOmha5DO
1533,Fofana M.,ABI,9,4,0,19:47,4,8,3,4,1,4,0,0,-13,0,4,3,0,0,0,1,0,lOmha5DO
1534,Harouna A.,ABI,9,6,1,29:35,2,16,1,9,1,7,4,7,-16,1,5,2,2,3,1,1,0,lOmha5DO
1535,Monyyong R.,KWA,9,8,1,35:52,3,4,3,4,0,0,3,8,5,4,4,5,0,3,2,1,0,lOmha5DO
1536,Kra U.,ABI,8,2,4,16:02,3,5,3,5,0,0,2,2,11,0,2,4,6,0,0,0,0,lOmha5DO
1537,Ezeh V.,KWA,6,5,1,18:32,2,6,1,3,1,3,1,1,1,0,5,4,0,5,0,0,0,lOmha5DO
1538,Obekpa C.,ABI,6,7,2,25:58,2,3,2,3,0,0,2,2,-1,3,4,5,1,2,0,0,0,lOmha5DO
1539,Kolawole M. A.,KWA,4,1,0,7:16,2,4,2,2,0,2,0,0,0,1,0,1,0,2,0,0,0,lOmha5DO
1540,Konate S.,ABI,4,4,2,25:58,2,8,2,3,0,5,0,0,12,0,4,3,0,2,1,0,0,lOmha5DO
1541,Kone F.,ABI,4,1,0,11:31,1,1,0,0,1,1,1,2,18,0,1,1,2,0,0,0,0,lOmha5DO
1542,Thiam M.,KWA,4,1,2,12:45,1,4,1,2,0,2,2,2,-1,0,1,0,0,2,0,0,0,lOmha5DO
1543,Kone M.,ABI,2,2,1,12:38,1,5,1,4,0,1,0,0,6,1,1,3,0,1,2,1,0,lOmha5DO
1544,Mohammed V.,KWA,2,2,1,7:15,1,2,1,2,0,0,0,0,-5,1,1,0,2,0,0,0,0,lOmha5DO
1545,Akpejiori A.,KWA,0,0,0,1:21,0,1,0,1,0,0,0,0,-10,0,0,0,0,0,0,1,0,lOmha5DO
1546,Conteh S.,KWA,0,2,1,10:24,0,3,0,2,0,1,0,0,-8,0,2,1,0,3,0,0,0,lOmha5DO
1547,Ighovodja J.,ABI,0,1,0,5:01,0,2,0,0,0,2,0,0,-5,0,1,0,0,0,0,0,0,lOmha5DO
1548,Nyemeck K.,KWA,0,1,0,2:31,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,lOmha5DO
1549,Sylla H.,ABI,0,0,0,4:12,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,lOmha5DO
1550,Roebuck Jr. G.,CIT,28,11,2,37:04,12,18,10,15,2,3,2,7,2,2,9,0,0,3,0,1,0,lxTQD4SH
1551,Omot N.,ALA,17,7,1,20:30,5,11,3,6,2,5,5,5,25,2,5,1,3,6,0,0,0,lxTQD4SH
1552,Jones F.,CIT,15,4,0,28:01,5,15,3,11,2,4,3,3,2,0,4,3,3,0,0,3,0,lxTQD4SH
1553,Justice J.,CIT,11,2,2,27:12,4,11,3,5,1,6,2,2,-16,0,2,0,2,6,0,0,0,lxTQD4SH
1554,Oraby O.,ALA,10,10,0,21:27,4,6,4,6,0,0,2,2,12,2,8,3,0,1,2,0,0,lxTQD4SH
1555,Sarhan M.,ALA,9,4,0,12:26,3,6,3,4,0,2,3,3,-26,1,3,0,0,1,0,0,0,lxTQD4SH
1556,Webster C.,ALA,8,3,1,18:06,3,10,1,5,2,5,0,0,-10,1,2,2,0,2,0,0,0,lxTQD4SH
1557,Zahran A.,ALA,7,0,1,17:09,2,6,1,4,1,2,2,2,22,0,0,4,2,0,0,0,0,lxTQD4SH
1558,Aboelnasr M.,ALA,6,4,0,18:40,2,4,0,1,2,3,0,0,-9,3,1,2,0,1,1,1,0,lxTQD4SH
1559,Baale F.,CIT,6,3,3,15:26,1,7,0,2,1,5,3,5,13,2,1,0,0,1,0,1,0,lxTQD4SH
1560,Saleh E. A.,ALA,6,2,3,14:25,2,9,0,1,2,8,0,0,20,0,2,1,2,0,1,0,0,lxTQD4SH
1561,Odeke T.,CIT,5,9,2,29:49,2,8,1,5,1,3,0,2,6,2,7,2,0,3,0,1,0,lxTQD4SH
1562,Thompson M.,ALA,5,2,4,22:54,2,6,2,3,0,3,1,1,26,1,1,1,2,1,0,0,0,lxTQD4SH
1563,Enabu J.,CIT,3,0,4,19:14,1,3,1,3,0,0,1,2,-3,0,0,1,2,1,0,0,0,lxTQD4SH
1564,El Gendy A.,ALA,2,4,1,21:05,1,4,1,2,0,2,0,0,-15,1,3,2,0,1,0,0,0,lxTQD4SH
1565,Ghedi A.,CIT,2,5,0,10:00,1,1,1,1,0,0,0,0,23,1,4,2,0,0,1,0,0,lxTQD4SH
1566,Said S.,ALA,2,3,0,15:17,1,3,1,3,0,0,0,0,1,0,3,4,0,4,2,0,0,lxTQD4SH
1567,Barnaba N.,CIT,0,2,0,13:33,0,2,0,0,0,2,0,0,-19,1,1,2,0,1,0,0,0,lxTQD4SH
1568,Camara D.,ALA,0,1,0,3:16,0,2,0,0,0,2,0,0,-11,0,1,0,0,0,0,0,0,lxTQD4SH
1569,Drileba T.,CIT,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lxTQD4SH
1570,Ismail A.,ALA,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lxTQD4SH
1571,Muhwezi I.,CIT,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lxTQD4SH
1572,Obe S.,CIT,0,0,0,3:23,0,1,0,0,0,1,0,0,-5,0,0,0,0,0,0,0,0,lxTQD4SH
