game_id,date_time,game_end,team,q1,q2,q3,q4,total,category,total (bins)
1010,27/11/2022 15:00:00,FT,Pirates,14,10,17,10,51,HOME,50
1011,26/11/2022 14:55:00,FT,Umoja,7,7,22,12,48,HOME,42.85714286
1013,13/11/2022 14:05:00,FT,Pirates,19,12,13,7,51,HOME,50
1014,06/11/2022 17:30:00,FT,Umoja,9,4,10,14,37,HOME,35.71428571
1015,30/10/2022 16:25:00,FT,Blades,25,13,18,10,66,HOME,64.28571429
1016,29/10/2022 15:00:00,FT,KPA,22,21,17,12,72,HOME,71.42857143
1017,16/10/2022 15:30:00,FT,Blades,14,18,13,16,61,HOME,57.14285714
1018,09/10/2022 15:00:00,FT,Terror,18,19,5,12,54,HOME,50
1019,02/10/2022 16:45:00,FT,NairobiCityThunder,20,14,12,26,72,HOME,71.42857143
1020,02/10/2022 15:00:00,FT,EquityBank,23,18,28,11,80,HOME,78.57142857
1021,02/10/2022 13:15:00,FT,Ulinzi,17,24,24,18,83,HOME,78.57142857
1022,01/10/2022 15:00:00,FT,EquityBank,16,26,13,28,83,HOME,78.57142857
1024,24/09/2022 16:00:00,FT,Pirates,9,8,18,15,50,HOME,50
1025,18/09/2022 16:10:00,FT,ZetechUniversity,14,13,17,23,67,HOME,64.28571429
1027,11/09/2022 16:15:00,FT,ANU,9,11,20,26,66,HOME,64.28571429
1029,04/09/2022 16:25:00,FT,EquityBank,15,5,22,18,60,HOME,57.14285714
1030,04/09/2022 14:50:00,FT,NairobiCityThunder,17,17,17,12,63,HOME,57.14285714
1031,04/09/2022 13:25:00,FT,BaobabBlazers,13,5,13,12,43,HOME,42.85714286
1032,03/09/2022 16:35:00,FT,NairobiCityThunder,14,5,12,20,51,HOME,50
1033,03/09/2022 14:55:00,FT,Blades,21,20,22,13,76,HOME,71.42857143
1035,31/07/2022 16:25:00,FT,Ulinzi,15,18,10,23,66,HOME,64.28571429
1036,31/07/2022 14:15:00,FT,Umoja,14,12,4,21,51,HOME,50
1037,30/07/2022 16:00:00,FT,NairobiCityThunder,12,24,18,19,73,HOME,71.42857143
1038,30/07/2022 14:15:00,FT,Pirates,14,15,22,16,67,HOME,64.28571429
1040,24/07/2022 15:05:00,FT,Pirates,10,19,14,19,62,HOME,57.14285714
1041,24/07/2022 10:05:00,FT,MAB,6,10,24,13,53,HOME,50
