,game_id,avg,pts_diff
405,O0IXGYpi,6.4,10
406,EPcsFGKr,8.0,14
407,x0zEWrjG,3.0,9
408,llX3G3Ci,7.2,20
409,j55ByVXC,3.6,2
410,vZDvHU3e,2.8,8
411,hfeWpZAQ,5.4,23
412,pSjK4T1a,5.2,26
413,231F59ng,8.2,11
414,29IKSZlr,6.4,32
415,tzYXhW2m,4.6,13
416,OKjSoFeK,4.0,6
417,t0HORg4l,2.0,4
418,nqZlhk8j,5.8,3
419,SbAzIAlk,4.4,2
